Seat,Labour_Prob,Conservative_Prob,Reform_Prob,Restore_Prob,LibDem_Prob,Green_Prob,Oth_Prob,SNP_Prob,Plaid_Prob,PredictedWinner,WinnerProb
Gordon and Buchan,0.0,0.4243,0.0319,0.0,0.0243,0.0,0.0,0.5195,0.0,SNP,0.5195
Gorton and Denton,0.9575,0.0001,0.0218,0.0,0.0,0.0204,0.0002,0.0,0.0,Labour,0.9575
Gosport,0.0435,0.1772,0.7793,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.7793
Gower,0.3625,0.0445,0.2154,0.0,0.0,0.0,0.0,0.0,0.3776,Plaid,0.3776
Grantham and Bourne,0.0594,0.3684,0.5722,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.5722
Gravesham,0.3866,0.4128,0.2006,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.4128
Great Grimsby and Cleethorpes,0.2234,0.003,0.7736,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.7736
Great Yarmouth,0.0888,0.0673,0.8439,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.8439
Greenwich and Woolwich,0.9438,0.0036,0.0,0.0,0.0004,0.0522,0.0,0.0,0.0,Labour,0.9438
Guildford,0.0,0.4292,0.0018,0.0,0.5688,0.0002,0.0,0.0,0.0,LibDem,0.5688
Hackney North and Stoke Newington,0.8018,0.0058,0.0,0.0,0.0,0.1924,0.0,0.0,0.0,Labour,0.8018
Hackney South and Shoreditch,0.8023,0.0,0.0,0.0,0.0,0.1977,0.0,0.0,0.0,Labour,0.8023
Halesowen,0.3713,0.219,0.4097,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.4097
Halifax,0.4972,0.05,0.4502,0.0,0.0,0.0025,0.0001,0.0,0.0,Labour,0.4972
Hamble Valley,0.0016,0.383,0.4964,0.0,0.119,0.0,0.0,0.0,0.0,Reform,0.4964
Hamilton and Clyde Valley,0.4225,0.0,0.0221,0.0,0.0,0.0,0.0,0.5554,0.0,SNP,0.5554
Hammersmith and Chiswick,0.9185,0.0584,0.0,0.0,0.0001,0.023,0.0,0.0,0.0,Labour,0.9185
Hampstead and Highgate,0.7144,0.2524,0.0,0.0,0.0004,0.0328,0.0,0.0,0.0,Labour,0.7144
