Seat,Tribe,Labour,Conservative,Reform,LibDem,Green,Oth,SNP,Plaid
Glasgow South,Progressives,12.219069839523453,0.0,0.0,0.0,0.0,0.0,0.0,0
Glasgow South,Average,28.769224616399924,0.0,0.0,0.0,0.0,0.0,0.0,0
Glasgow South,Liberal,0.8117055440766201,0.0,0.0,3.1,13.1,2.2,4.023273525199842,0
Glasgow South,Blues,0.0,0.7840606999999999,0.0,0.0,0.0,0.0,0.0,0
Glasgow South,Reforms,0.0,3.0159393,4.1,0.0,0.0,0.0,12.05443749102887,0
Glasgow South West,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,14.2618147,0
Glasgow South West,Left,0.0,0.0,0.0,0.0,0.0,0.0,11.42149798618038,0
Glasgow South West,Progressives,10.944484756274186,0.0,0.0,0.0,0.0,0.0,0.0,0
Glasgow South West,Average,27.08925082326691,0.0,0.0,0.0,0.0,0.0,0.0,0
Glasgow South West,Liberal,5.566264420458907,0.0,0.0,2.7,4.7233382854001285,1.5,0.0,0
Glasgow South West,Blues,0.0,1.1939399,0.0,0.0,0.0,0.0,0.0,0
Glasgow South West,Reforms,0.0,2.7060601,6.3,0.0,2.8766617145998676,0.0,8.716687313819616,0
Glasgow West,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,5.1995236,0
Glasgow West,Left,0.0,0.0,0.0,0.0,0.0,0.0,13.63610219599449,0
Glasgow West,Progressives,14.669755650331991,0.0,0.0,0.0,0.0,0.0,0.0,0
Glasgow West,Average,30.448864273331807,0.0,0.0,0.0,0.0,0.0,0.0,0
Glasgow West,Liberal,1.5813800763362025,0.0,0.0,3.3,9.2,0.8,2.406411402941359,0
Glasgow West,Blues,0.0,1.607119,0.0,0.0,0.0,0.0,0.0,0
Glasgow West,Reforms,0.0,2.692881,5.3,0.0,0.0,0.0,9.157962801064151,0
Glenrothes and Mid Fife,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,0.8622271000000001,0
Glenrothes and Mid Fife,Left,0.0,0.0,0.0,0.0,0.0,0.0,9.326851556688972,0
