Seat,County,Region, ,Muslim,Left,Progressives,Average,Liberal,Blues,Reforms,Labour,Conservative,Reform,LibDem,Green,Oth,SNP,Plaid
Bury St Edmunds and Stowmarket,Suffolk,Eastern,0,0.5011421,7.887817703768615,8.9491794169326,26.807512942568366,23.071899687115273,8.406207600000002,24.376240549615154,32.9,30.0,16.9,6.2,11.3,2.6,0,0
Calder Valley,West Yorkshire,Yorkshire and the Humber,0,1.750684,7.843673134736264,8.739630261018133,24.229482115299916,27.426382649863317,7.299254899999999,22.710892939082367,44.4,26.3,15.4,5.2,7.5,1.2,0,0
Camborne and Redruth,Cornwall,South West,0,0.23210050000000002,9.05673274094326,7.112415672835488,27.835117692637624,18.685053656361482,8.9794,28.09917973722215,40.5,24.2,18.7,8.6,5.9,2.0,0,0
Cambridge,Cambridgeshire,Eastern,0,4.9998791,23.97172719753353,21.662207681098945,14.829223961957354,20.524828567388965,6.2280127,7.78412079202122,46.6,12.0,0.0,20.3,16.3,4.8,0,0
Cannock Chase,Staffordshire,West Midlands,0,0.3442135,8.306149860884569,6.167669610546055,31.11143256520171,19.576108065114017,2.2700636000000003,32.22436279825365,36.5,29.2,26.9,2.4,5.0,0.0,0,0
Canterbury,Kent,South East,0,2.3818402,18.77660766300685,13.705938715049705,26.027782251191383,19.078710535008746,4.9096076,15.119513035743312,41.4,23.0,14.4,8.1,12.5,0.6,0,0
Carlisle,Cumbria,North West,0,0.8376923,8.498704783051144,6.366846551455369,31.304543073966002,16.794018723350263,5.0730547,31.125139868177218,39.4,28.1,20.2,6.5,4.2,1.6,0,0
Carshalton and Wallington,London (Sutton),London,0,6.2935064999999994,8.89857028901024,16.44652985749547,25.76975029582644,22.181810394378388,7.5534742999999995,12.856358363289461,13.1,26.2,12.7,43.1,3.3,1.6,0,0
Castle Point,Essex,Eastern,0,0.7842623,7.973537604456811,6.096936224768019,35.63075810831458,21.715883155699508,1.2168081,26.581814506761077,23.3,38.1,30.1,3.3,5.2,0.0,0,0
Central Devon,Devon,South West,0,0.2189781,6.769001978650725,7.422528310663632,16.63709550294334,25.607505823296094,20.557100000000002,22.787790284446203,31.4,31.5,14.6,15.4,6.2,0.9,0,0
Central Suffolk and North Ipswich,Suffolk,Eastern,0,1.2903019999999998,8.080873245251857,7.324969033677236,23.525041159473943,25.397538117037577,10.8596938,23.52158264455939,23.4,32.6,19.0,11.6,12.2,1.2,0,0
Chatham and Aylesford,Kent,South East,0,2.5252,9.366020222908867,13.663157957132226,29.184049139429334,19.66204853979496,2.1453204,23.454203740734613,33.5,28.6,24.5,5.3,6.1,2.0,0,0
Cheadle,Greater Manchester,North West,0,8.7205162,7.332833621959721,7.694007238778203,26.25014409617637,33.09794254020187,3.4362144,13.468341902883822,15.6,22.6,10.1,46.7,3.2,1.8,0,0
Chelmsford,Essex,Eastern,0,2.7917172,9.336026198381983,13.075812801689388,29.62706943125177,24.76493275716539,3.0402872999999997,17.364154311511474,12.0,30.5,13.3,39.9,3.1,1.2,0,0
Chelsea and Fulham,London (Hammersmith and Fulham; Kensington and Chelsea),London,0,8.6655678,12.706751527792559,34.68968016679208,0.0,15.708003927026198,22.5553058,5.674690778389169,39.4,39.1,6.7,7.7,5.9,1.3,0,0
Cheltenham,Gloucestershire,South West,0,1.4311806,10.81251668972883,13.333581318035485,30.54702368842311,24.42688114403055,2.1247842,17.324032359782027,5.4,36.1,0.0,50.6,6.4,1.6,0,0
Chesham and Amersham,Buckinghamshire,South East,0,4.2448592,7.56299322489785,10.476444371131553,19.454501970362884,35.66420332540423,10.7877078,11.809290108203479,6.4,34.8,9.8,44.8,3.1,1.1,0,0
Chester North and Neston,Cheshire,North West,0,1.7663605999999998,12.064546981717331,10.306329615818855,29.621182250596092,22.0524136310031,3.3446452,20.844521720864616,49.8,23.2,13.1,4.6,9.2,0.0,0,0
Chester South and Eddisbury,Cheshire,North West,0,0.6212967,7.4757281553398,7.571415347673217,20.560056221074205,30.259315896907964,15.7240472,17.788140479004817,32.1,37.9,12.2,10.3,4.3,3.1,0,0
Chesterfield,Derbyshire,East Midlands,0,0.9513084999999999,7.72249961393936,7.263140906100672,36.54958494125897,16.96427530454651,0.3946329,30.154557834154485,46.5,20.4,19.0,6.1,6.5,1.5,0,0
Chichester,West Sussex,South East,0,0.7393396,9.490127385004236,8.756770196107023,30.19129665882724,22.65141948311438,6.7988029,21.372243776947123,6.1,25.7,15.1,49.2,3.5,0.4,0,0
Chingford and Woodford Green,London (Redbridge; Waltham Forest),London,0,13.3220424,9.15772815192543,22.601465386721657,12.803573302454737,26.71378949621607,5.5502865,9.851114762682094,25.8,35.6,7.5,2.6,2.7,25.7,0,0
Chippenham,Wiltshire,South West,0,0.6911972,9.170984455958543,8.871320978442839,27.80521326889925,25.902282355539157,5.0626065,22.49639524116021,7.9,29.1,12.4,45.5,3.9,1.1,0,0
Chipping Barnet,London (Barnet),London,0,8.8043295,8.931360735484438,21.970552510153468,10.758180485894428,23.575939979884897,18.720684,7.238952788582759,42.4,36.7,7.8,5.1,6.8,1.1,0,0
Chorley,Lancashire,North West,0,1.4565271,8.031144374698203,6.972961999948896,28.226510374289973,25.209729930042926,5.581841300000001,24.521284921019998,0.0,0.0,0.0,0.0,13.7,86.3,0,0
Christchurch,Dorset,South West,0,0.41104130000000005,6.39320922986004,5.462483345139929,34.0987928599522,28.413743494374067,2.7741892999999997,22.446540470673757,16.4,35.8,18.9,20.0,4.0,4.8,0,0
Cities of London and Westminster,London (City; Westminster),London,0,14.4331186,15.13024232940543,23.65481939142576,0.0,8.716472626891052,34.4626899,3.6026571522777533,39.0,32.1,7.0,11.1,7.3,3.5,0,0
City of Durham,County Durham,North East,0,1.3448415999999999,23.37047129568944,7.830378107084238,23.062189759117373,15.216615017611876,8.580502000000001,20.59500222049707,47.1,12.9,18.2,14.6,6.9,0.4,0,0
Clacton,Essex,Eastern,0,0.46441520000000003,6.796184680203628,6.033365070770914,34.93447315904345,15.29722044576014,4.272754300000001,32.20158714422186,16.2,27.9,46.2,4.4,4.2,1.1,0,0
Clapham and Brixton Hill,London (Lambeth),London,0,6.8865013,11.681540045016,50.36648937423796,0.0,19.201393208715757,4.6420353,7.2220407720302875,56.5,10.2,4.1,14.4,13.5,1.2,0,0
Colchester,Essex,Eastern,0,2.7456812,11.895906761519651,16.226025649996846,30.774218484966894,16.9936790885023,2.5064422,18.85804661501431,41.9,23.5,14.8,14.2,5.4,0.2,0,0
Colne Valley,West Yorkshire,Yorkshire and the Humber,0,3.6495330999999998,7.939953689085357,9.67758668806809,30.278646829118273,23.068115838829616,4.2264983,21.159665554898663,41.0,30.3,15.8,4.3,7.5,1.0,0,0
Congleton,Cheshire,North West,0,0.43951399999999996,6.793530705986796,5.9872971360714535,29.272867363413397,31.565151564257125,4.776022899999999,21.165616330271234,37.7,30.9,16.4,5.6,4.0,5.4,0,0
Corby and East Northamptonshire,Northamptonshire,East Midlands,0,0.6441321,8.108892687804394,9.576135747730206,26.368899696347313,20.872102071065502,6.9109574,27.51888029705259,42.4,29.6,17.7,4.4,5.1,0.9,0,0
Coventry East,West Midlands,West Midlands,0,13.4332649,12.02728036718599,24.800172935453123,17.362487550840626,10.73830947447375,4.3205275,17.3179572720465,49.5,16.9,18.1,3.3,7.4,4.9,0,0
Coventry North West,West Midlands,West Midlands,0,7.289521000000001,11.40811731424283,19.21494293330293,21.87984361459911,17.76150295835948,3.1062406,19.339831579495645,46.9,20.3,18.9,4.6,8.1,1.2,0,0
Coventry South,West Midlands,West Midlands,0,10.093781100000001,24.47522773136182,25.935298188421015,6.7290882004919155,15.494045404842135,6.2276877,11.044871674883113,47.6,23.8,13.4,5.9,5.5,3.8,0,0
Cramlington and Killingworth,Northumberland; Tyne and Wear,North East,0,0.6731914,7.919288880182167,5.632042721372441,32.55722244692819,22.477858974688328,4.3277731,26.41262247682887,49.1,18.9,20.8,4.2,4.7,2.3,0,0
Crawley,West Sussex,South East,0,9.722937199999999,9.498873337776494,14.066492384918028,23.2419079587022,18.620352181272132,6.220544100000001,18.628892837331154,38.2,26.8,18.5,4.8,5.7,5.9,0,0
Crewe and Nantwich,Cheshire,North West,0,1.2656956000000001,8.073579817124925,8.66043443721292,32.3913961256159,19.740373145996884,2.087145,27.78137587404937,44.1,23.5,20.3,4.8,4.6,2.6,0,0
Croydon East,London (Croydon),London,0,7.9389354999999995,10.18489610434661,32.05005495896667,11.203903640229981,21.623109574878335,6.4660495,10.533050721578412,42.4,26.8,13.4,8.1,9.4,0.0,0,0
Croydon South,London (Croydon),London,0,6.600421600000001,7.894352305107037,22.850239028100525,13.008603109422523,32.17410780470953,9.0240204,8.448255752660392,35.3,40.0,8.4,8.9,5.8,1.6,0,0
Croydon West,London (Croydon),London,0,14.3367918,10.82439845095521,47.89443030963899,2.554738835080883,10.884573939849092,8.401031,5.104035664475813,54.1,16.8,5.6,9.6,10.1,3.8,0,0
Dagenham and Rainham,London (Barking and Dagenham; Havering),London,0,14.634944299999999,11.41095162147791,27.07052985776894,15.112005129014534,15.5111481533964,2.853164,13.407256938342218,42.6,17.8,24.2,2.7,10.8,1.9,0,0
Darlington,County Durham,North East,0,1.8521182,8.325066957643077,8.968703927195964,36.67460616371596,14.733946725962827,1.258696,28.186862025482174,39.2,33.8,16.2,4.1,6.7,0.0,0,0
Dartford,Kent,South East,0,3.6539539000000003,8.335533338689856,21.813670347221013,21.333552858447547,22.66747160480656,5.8039622,16.39185575083503,34.6,31.9,21.4,4.9,7.2,0.0,0,0
Daventry,Northamptonshire,East Midlands,0,0.8255679,7.53897294818889,7.901357638230007,19.265091721147826,29.10635861021069,13.8034462,21.55920498222258,28.0,33.7,20.0,12.7,5.6,0.0,0,0
Derby North,Derbyshire,East Midlands,0,5.9737492,12.88459298940252,15.680486438502967,28.30160407353145,14.260250589973067,1.9259025,20.973414208589993,45.5,23.7,18.3,4.5,8.0,0.0,0,0
Derby South,Derbyshire,East Midlands,0,19.0865523,12.33787616447669,20.024528668325015,16.119423198300098,12.651134954423737,1.831418,17.949066714474455,38.8,13.9,22.7,4.8,5.1,14.7,0,0
