Seat,Nation,County,Region,DominantHandTribe,Archetype_1,Archetype_2,Archetype_3,Archetype_4,Archetype_5,Hand_Muslim,Hand_Left,Hand_Progressives,Hand_Average,Hand_Liberal,Hand_Blues,Hand_Reforms
Cambridge,england,Cambridgeshire,Eastern,Left,2.2698610605189216,0.0,22.725821393803237,26.118043322017492,48.88627422366036,4.9998791,23.97172719753353,21.662207681098945,14.829223961957354,20.524828567388965,6.2280127,7.78412079202122
Cannock Chase,england,Staffordshire,West Midlands,Reforms,0.0,60.36218525664331,2.0063732181785876,29.98332171797417,7.648119807203936,0.3442135,8.306149860884569,6.167669610546055,31.11143256520171,19.576108065114017,2.2700636000000003,32.22436279825365
Canterbury,england,Kent,South East,Average,2.8158642269380953,23.98106651193807,6.220095435222412,37.81335239319076,29.169621432710663,2.3818402,18.77660766300685,13.705938715049705,26.027782251191383,19.078710535008742,4.9096076,15.119513035743312
Carlisle,england,Cumbria,North West,Average,0.0,57.20411777130262,1.8433094784775235,31.306303244046706,9.646269506173146,0.8376923,8.498704783051144,6.366846551455369,31.304543073966,16.794018723350263,5.0730547,31.125139868177214
Carshalton and Wallington,england,London (Sutton),London,Average,11.16974198033459,24.50070893342261,19.93910606535418,31.716237752370258,12.67420526851835,6.2935065,8.89857028901024,16.44652985749547,25.76975029582644,22.181810394378388,7.553474299999999,12.85635836328946
Castle Point,england,Essex,Eastern,Average,1.4286264061206992,51.9601665802768,0.0,42.078869816146984,4.532337197455514,0.7842623,7.973537604456811,6.096936224768019,35.63075810831458,21.715883155699508,1.2168081,26.58181450676108
Central Devon,england,Devon,South West,Liberal,0.0,35.51218618010357,0.6802217894453331,52.93766174543172,10.869930285019379,0.2189781,6.769001978650725,7.422528310663632,16.63709550294334,25.60750582329609,20.5571,22.787790284446203
Central Suffolk and North Ipswich,england,Suffolk,Eastern,Liberal,0.5605948521101926,41.79397077369956,3.001212697240539,44.77576768490509,9.868453992044612,1.2903019999999998,8.080873245251857,7.324969033677236,23.525041159473943,25.397538117037577,10.8596938,23.52158264455939
Chatham and Aylesford,england,Kent,South East,Average,5.944623033832993,48.56880999767174,6.662452256571038,29.992822842784665,8.831291869139557,2.5252,9.366020222908867,13.663157957132226,29.184049139429334,19.66204853979496,2.1453204,23.454203740734613
Cheadle,england,Greater Manchester,North West,Liberal,8.396816572653416,13.592880530905477,6.279593513031944,56.2696956138235,15.46101376958566,8.7205162,7.332833621959721,7.694007238778203,26.25014409617637,33.09794254020187,3.4362144,13.468341902883822
Chelmsford,england,Essex,Eastern,Average,4.541080711824693,28.027439782657538,9.552016491156229,40.5478696864348,17.331593327926736,2.7917172,9.336026198381983,13.075812801689388,29.62706943125177,24.76493275716539,3.0402873,17.364154311511474
Chelsea and Fulham,england,London (Hammersmith and Fulham; Kensington and Chelsea),London,Progressives,0.0,2.181134324068995,59.544003559615696,18.051228480139006,20.22363363617631,8.6655678,12.70675152779256,34.68968016679208,0.0,15.708003927026198,22.5553058,5.674690778389169
Cheltenham,england,Gloucestershire,South West,Average,1.2294979047596655,22.488056206190564,7.362726562576125,46.27771826794304,22.642001058530624,1.4311806,10.81251668972883,13.333581318035485,30.54702368842311,24.42688114403055,2.1247842,17.324032359782027
Chesham and Amersham,england,Buckinghamshire,South East,Liberal,8.293187883468972,11.464334242001653,13.851335819430007,54.25251651199721,12.13862554310217,4.2448592,7.56299322489785,10.476444371131551,19.454501970362884,35.66420332540423,10.7877078,11.80929010820348
Chester North and Neston,england,Cheshire,North West,Average,0.0,33.73696577446278,3.6932282213774434,40.7659751429188,21.803830861240986,1.7663605999999998,12.064546981717331,10.306329615818855,29.62118225059609,22.0524136310031,3.3446452,20.844521720864616
Chester South and Eddisbury,england,Cheshire,North West,Liberal,0.0,27.6205839938936,4.606946105623999,55.919772362742016,11.85269753774038,0.6212967,7.4757281553398,7.571415347673217,20.560056221074205,30.259315896907964,15.7240472,17.788140479004817
Chesterfield,england,Derbyshire,East Midlands,Average,0.0,56.13197526031853,0.5814145610511158,29.977973329720538,13.308636848909824,0.9513085,7.72249961393936,7.263140906100672,36.54958494125897,16.96427530454651,0.3946329,30.154557834154485
Chichester,england,West Sussex,South East,Average,0.0,37.48436946526914,3.8754401502157227,45.15719009375074,13.48300029076441,0.7393396,9.490127385004236,8.756770196107023,30.19129665882724,22.65141948311438,6.7988029,21.372243776947123
Chingford and Woodford Green,england,London (Redbridge; Waltham Forest),London,Liberal,12.039838934030387,18.29922401009218,27.870102976802542,31.272576087959603,10.518257991115288,13.3220424,9.15772815192543,22.601465386721657,12.803573302454735,26.71378949621607,5.5502865,9.851114762682094
Chippenham,england,Wiltshire,South West,Average,0.0,37.70211709196007,2.763238339105085,45.47080441286017,14.063840156074681,0.6911972,9.170984455958545,8.871320978442839,27.80521326889925,25.90228235553916,5.0626065,22.49639524116021
Chipping Barnet,england,London (Barnet),London,Liberal,9.320748891276857,6.630511112347313,42.90107586590536,31.675880759720677,9.471783370749783,8.8043295,8.931360735484438,21.970552510153468,10.758180485894428,23.575939979884897,18.720684,7.238952788582759
Chorley,england,Lancashire,North West,Average,0.0,44.4498555371095,5.729943391939474,41.3261859345507,8.494015136400325,1.4565271,8.031144374698203,6.972961999948896,28.226510374289973,25.20972993004293,5.581841300000001,24.52128492102
Christchurch,england,Dorset,South West,Average,0.0,38.365641325303876,0.0,54.53230203134751,7.102056643348612,0.4110413,6.39320922986004,5.462483345139929,34.0987928599522,28.413743494374067,2.7741893,22.44654047067376
Cities of London and Westminster,england,London (City; Westminster),London,Blues,0.0,0.0,75.49903153793787,0.927101700609397,23.573866761452738,14.4331186,15.13024232940543,23.65481939142576,0.0,8.716472626891052,34.4626899,3.6026571522777533
City of Durham,england,County Durham,North East,Left,0.31354124025068203,36.37436802788434,0.0,31.50959180551342,31.802498926351554,1.3448416,23.37047129568944,7.830378107084238,23.062189759117373,15.216615017611876,8.580502000000001,20.59500222049707
Clacton,england,Essex,Eastern,Average,0.0,63.83767635412728,0.0,32.785255138817895,3.377068507054828,0.4644152,6.796184680203628,6.033365070770914,34.93447315904345,15.29722044576014,4.272754300000001,32.20158714422186
Clapham and Brixton Hill,england,London (Lambeth),London,Progressives,0.0,5.699512183352606,38.86656620102058,19.33482312437351,36.09909849125329,6.8865013,11.681540045016,50.36648937423796,0.0,19.20139320871576,4.6420353,7.222040772030287
Colchester,england,Essex,Eastern,Average,4.5071238948067815,33.03312221799062,10.557789302758058,30.862818525432978,21.039146059011543,2.7456812,11.895906761519653,16.226025649996846,30.77421848496689,16.9936790885023,2.5064422,18.85804661501431
Colne Valley,england,West Yorkshire,Yorkshire and the Humber,Average,3.7679955239028535,31.889995907691343,0.0,47.04691466771328,17.295093900692525,3.6495331,7.939953689085357,9.67758668806809,30.278646829118276,23.068115838829616,4.2264983,21.159665554898663
