Seat,County,Region,KMeans_label,GMM_label,Agglomerative_label,DBSCAN_outlier,Segment_1,Segment_2,Segment_3,Segment_4,Segment_5,Segment_6,Segment_7,Segment_8,Segment_9,Segment_10,Segment_11,Segment_12
Braintree,Essex,Eastern,9,4,1,False,3.922093118940835e-08,1.5548489773330295e-05,6.0950974031576455e-05,85.58277815786258,6.644425868953932e-06,13.975850611527468,4.572665420324015e-11,4.6407176959218955e-09,1.3425325780710623e-07,0.44128790753656344,1.0232138801920403e-09,0.0
Brent East,London (Brent),London,11,5,2,False,1.785015079454918e-08,1.954187738332417e-08,1.309550999147715e-12,3.0936032009569496e-72,99.99998754333895,2.2381452895029944e-88,3.820651946170064e-30,1.3797947030964925e-47,1.2419267450880445e-05,1.721745848123718e-25,2.4942775292436744e-75,0.0
Brent West,London (Brent),London,11,1,11,True,99.99835070432096,3.63548348315146e-18,1.4274210733136983e-46,1.5269802688135865e-135,0.0016492956792070928,1.092670383104735e-161,1.1242461208634631e-59,1.9047492061410497e-87,1.039619834269408e-26,2.7577908164622086e-38,2.848223553289918e-190,0.0
Brentford and Isleworth,London (Hounslow; Richmond upon Thames),London,11,1,2,False,99.99236796890365,0.00020850603463632797,9.851352499192128e-11,4.9544094951056346e-37,0.006964982898290156,4.8105708081988033e-60,5.239035161479971e-16,6.320007493683834e-28,0.00041891076196367595,3.9631302886987925e-05,6.993660566624639e-61,0.0
Brentwood and Ongar,Essex,Eastern,1,10,3,False,2.510015869609541e-07,1.9313457858211925e-05,2.9878337603180725e-07,0.0053279173366267574,1.9083893572939743e-05,0.7804491736947395,1.1472258622386026e-09,8.767769697139255e-14,3.034544478050381e-07,99.21418341932065,2.3790983425040522e-07,0.0
Bridgwater,Somerset,South West,9,4,1,False,4.627117550441008e-09,4.23040604985382e-07,5.8619622139625294e-05,99.39642614259955,3.6248776217901744e-08,0.5955772211729411,1.6050131415463266e-09,4.521518573612649e-05,3.344402084375172e-09,0.007892328623985475,3.929635661017049e-09,0.0
Bridlington and The Wolds,East Riding of Yorkshire,Yorkshire and the Humber,9,6,1,False,1.0780761045222674e-08,2.815486594011423e-07,2.811671534741255e-06,0.00035562149290838926,1.15645124846185e-06,99.99963320629773,1.5089890786199737e-16,1.0231840009689718e-07,1.0374500269276367e-11,6.809427493931075e-06,8.458196166237379e-13,0.0
Brigg and Immingham,Lincolnshire,Yorkshire and the Humber,9,6,1,False,2.4242165781945605e-08,2.417095277334742e-06,6.766018216054534e-06,0.4569313309534027,7.004063398922863e-07,99.38683369455484,7.742497728153881e-15,8.169492090705592e-08,1.7057524353055744e-10,0.15622498483733674,2.689518776546473e-11,0.0
Brighton Kemptown and Peacehaven,East Sussex,South East,3,3,7,False,1.4021636344974541e-07,0.002026663566070664,99.98869476152667,6.584246386877752e-24,0.009278271514289886,1.9247868802985451e-34,9.1832054537054e-15,9.891794613845929e-12,1.6315454218878907e-07,1.1977475389276211e-11,4.4420430935124135e-60,0.0
Brighton Pavilion,East Sussex,South East,4,5,12,True,3.1522433411232496e-110,1.0938394134436712e-67,1.4537940952685263e-103,2.692036235e-315,100.0,4.6135379402328047e-299,3.48489251535018e-191,9.941495736288698e-184,2.0938544946843901e-134,1.624800547410536e-278,0.0,0.0
Bristol Central,Somerset,South West,4,5,12,True,4.78668337578236e-23,3.638859553956919e-23,1.5871623436490532e-33,7.25046069252534e-156,100.0,1.227152506964832e-186,2.6239804905952065e-90,9.577872215968509e-77,1.9034632736891202e-45,1.906053756540404e-74,6.857893012703373e-279,0.0
Bristol East,Somerset,South West,4,5,7,False,9.481738085079678e-07,0.10862355871809182,0.13609002473604742,6.334154236908986e-37,99.75527613108711,3.7944479731709805e-46,1.7989879248080536e-20,3.3113151850232083e-15,9.337284356065567e-06,7.181023529322026e-13,8.014874034489482e-66,0.0
Bristol North East,Bristol; Gloucestershire,South West,3,3,7,False,0.00022883404273235563,0.2968057996571141,98.95100911511543,7.204383091261096e-05,0.018601322643695926,1.9818569377170574e-15,8.137116821309965e-10,0.0001695293684153595,0.05258597489454377,0.6805273796333918,1.946104900299533e-29,0.0
Bristol North West,Bristol,South West,3,3,7,False,5.323523455881811e-06,0.0012032738603443027,99.91008629451504,3.1895696343331715e-08,0.0007937123466502633,7.441693656186897e-17,1.2251556510973895e-08,1.8185149170896057e-05,0.008009023850806686,0.07988414260724995,8.344755628624199e-35,0.0
Bristol South,Bristol,South West,3,5,7,False,0.0006105913894494243,7.686807389350382,0.1628139108159007,7.178098175838928e-22,92.04440823805953,8.144455131264304e-35,3.299284018108788e-14,9.236966307623594e-09,0.10535978955248956,7.159527433353172e-08,3.6583505376440425e-62,0.0
Broadland and Fakenham,Norfolk,Eastern,1,6,1,False,3.2078109426764326e-10,7.219043137838685e-08,8.40652921107939e-06,1.542607096756199e-07,1.0510174311800425e-07,99.99996657803462,7.583484836483873e-16,4.220238199186322e-10,6.402183429992256e-11,2.468034966702055e-05,2.7267720843755988e-09,0.0
Bromley and Biggin Hill,London (Bromley),London,6,10,3,False,8.286789279460552e-07,1.3786911202834353e-07,1.3718151836045399e-07,0.000608980141383213,1.7670735626064712e-06,2.6394791620037446e-09,6.207297698277364e-08,4.600347033301697e-15,0.00037234203409331547,99.99901574230854,3.6976873910030053e-13,0.0
Bromsgrove,Worcestershire,West Midlands,1,10,1,False,1.7863757775204387e-08,4.041309976580278e-05,0.00031130261186596296,0.0057188251102702065,1.0783949102776232e-06,21.98799768197268,2.1036763809609825e-07,5.762917089219445e-10,3.056967269841652e-07,78.0039734094433,0.0019567548627832366,0.0
Broxbourne,Hertfordshire,Eastern,9,10,3,False,6.963992795167306e-05,1.9426025960847706e-05,3.431554958207468e-08,0.01321792127149732,4.721553411052561e-05,3.125617248291676e-06,1.4048403534409457e-10,6.421046430454347e-14,0.0007043373955503664,99.98593829976882,2.8077212525978088e-12,0.0
