Seat,Nation,Region,KMeans_label,GMM_label,Agglomerative_label,DBSCAN_outlier,DominantHandTribe,Segment_1,Segment_2,Segment_3,Segment_4,Segment_5,Segment_6
Bognor Regis and Littlehampton,england,South East,1,6,2,False,Average,2.2733754414497135e-05,7.094054059561463e-05,3.7246060249476502e-09,0.0031109180685789353,7.734196490411784e-08,99.99679532656984
Bolsover,england,East Midlands,6,1,2,False,Reforms,98.25293425562568,0.03434851462717284,3.463550669658763e-07,1.7123794922786952,3.634748363575945e-07,0.0003370276384910361
Bolton North East,england,North West,6,4,4,False,Average,6.474674555100614e-09,8.430869809755718,0.00028322912681696277,91.56868753518125,0.00015941946154354562,1.2603924325846006e-17
Bolton South and Walkden,england,North West,4,2,4,False,Muslim,3.585857616237107e-26,74.43342040851306,0.057800339726684996,25.508779251760355,8.682271515908872e-20,2.7688020777404313e-46
Bolton West,england,North West,5,5,4,False,Liberal,1.1513199412162611e-05,2.4694209784744507,2.3841906478217247e-05,0.3624103038744908,97.16813335409866,8.446448945962895e-09
Bootle,england,North West,6,1,2,False,Average,99.41106232433654,0.5888362439544745,9.853413690663677e-05,2.8975718145196535e-06,1.0843950729977805e-16,1.5957112318783485e-13
Boston and Skegness,england,East Midlands,6,4,2,False,Reforms,0.9655625129863973,11.976307752163109,0.020321932620638722,87.03776433388796,3.720311413084814e-17,4.3468341792502346e-05
Bournemouth East,england,South West,5,4,4,False,Average,3.702111404708892e-09,10.006807540319794,0.0008547592536130357,89.9923376789608,1.4568418959507393e-08,3.1952003402925715e-09
Bournemouth West,england,South West,3,2,5,False,Average,6.511573163815987e-15,99.05183582489533,0.13897493628427482,0.8091892388203391,3.157779349371661e-18,2.6821892850076067e-16
Bracknell,england,South East,5,4,4,False,Average,2.702970612095691e-09,0.48181882763402584,9.211503829842822e-06,99.51363856059335,0.004533397565758894,3.893312932553114e-16
Bradford East,england,Yorkshire and the Humber,4,3,3,False,Muslim,1.1199135678922191e-128,5.958595939018548e-05,99.99994041404071,5.323321706609818e-20,8.152737996418592e-100,8.858222741835979e-169
Bradford South,england,Yorkshire and the Humber,4,2,4,False,Reforms,1.5250263598979636e-23,88.68931744225111,1.3080480518989008,10.002634505850033,5.117216752956658e-20,1.3084077255076038e-39
Bradford West,england,Yorkshire and the Humber,4,3,3,True,Muslim,7.525119966748889e-231,1.3942430884482873e-15,100.0,5.553578239756103e-51,1.8291496144512847e-195,1.6191560024174156e-294
Braintree,england,Eastern,1,5,2,False,Average,0.82603832451256,0.04295375865751481,8.564043359358044e-08,5.8032371536733365,92.95716952658321,0.37060115093289864
Brent East,england,London,2,3,1,True,Progressives,7.52458543111235e-139,7.740240516820825e-11,99.99999999992255,2.0458796135770826e-37,2.3896089137645714e-124,8.360737650222297e-171
Brent West,england,London,4,3,3,True,Blues,6.288190466729448e-272,6.170068695584676e-14,100.0,3.1930927175879956e-45,7.71143983537079e-226,2.4099371594982034e-306
Brentford and Isleworth,england,London,4,3,3,False,Progressives,2.7155817487839645e-104,6.900293034112334,93.0997069658872,6.317773844610583e-13,2.1943414610130058e-70,7.000534392166484e-128
Brentwood and Ongar,england,Eastern,5,5,6,False,Liberal,9.725542642127245e-09,0.05638688527060724,3.062540311266272e-07,0.01603317497100277,99.92757962172347,2.05539005174489e-09
Bridgwater,england,South West,6,4,2,False,Reforms,32.218488200785764,0.07056109541700886,4.3425074211106275e-07,46.09726560103953,0.00019594592559472177,21.6134887225814
Bridlington and The Wolds,england,Yorkshire and the Humber,1,6,2,False,Reforms,4.016595867053988e-07,0.00010891165422638757,1.5883084507265564e-08,0.00032652544376274593,3.048709409234302e-10,99.99956414505448
Brigg and Immingham,england,Yorkshire and the Humber,1,6,2,False,Reforms,0.023687730252950248,0.003938021453944853,3.795608058134984e-08,0.030917086467862093,0.003992674714898684,99.93746444915432
Brighton Kemptown and Peacehaven,england,South East,3,2,5,False,Average,1.430720424601572e-17,99.9273500787153,0.04782234570308375,0.024827575581571504,1.7524113123244797e-23,5.3170920603170626e-30
Brighton Pavilion,england,South East,3,2,5,False,Left,2.974036224761686e-47,85.8509002839852,14.149099716009655,4.9840062046226424e-12,1.885891889568447e-53,1.0916091460209926e-71
Bristol Central,england,South West,3,3,5,False,Left,2.6267588134154356e-84,4.83214130360955,95.16785869639044,3.405293538377804e-24,8.284414098356197e-91,1.959532232629245e-127
Bristol East,england,South West,3,2,4,False,Progressives,1.8659351113109354e-19,93.94458958413975,0.07009305098026,5.985317364879823,3.016124063146571e-13,1.231924171341694e-33
Bristol North East,england,South West,5,4,4,False,Average,4.4224249840900677e-11,7.396198292735044,0.0002641248580518107,92.60353671240783,8.69954916135538e-07,5.8229492842594484e-21
Bristol North West,england,South West,5,2,4,False,Average,3.6683553200069346e-11,99.24338227889344,0.002500331043465727,0.7541173669517812,2.3074715119685082e-08,1.2079394060035103e-29
Bristol South,england,South West,6,2,4,False,Average,5.691758818089249e-05,95.29895967075652,0.03306337184620484,4.667920039681988,1.2693211598432141e-10,6.422366093705575e-23
Broadland and Fakenham,england,Eastern,1,6,2,False,Reforms,1.172512515539166e-05,8.25337976614818e-05,4.861352961872034e-10,0.0005706808250309479,0.001479927918232056,99.9978551318478
Bromley and Biggin Hill,england,London,5,2,6,False,Liberal,1.4938155425571658e-19,60.60998246471261,0.0016101555817767703,39.37425992342061,0.014147456285043457,3.546936112202421e-26
Bromsgrove,england,West Midlands,1,5,6,False,Liberal,1.6101242260664074e-07,0.005409125523032255,7.725118260612888e-09,0.00039636072045965185,99.9941943449812,3.7731495525184544e-11
Broxbourne,england,Eastern,5,4,4,False,Average,1.2217887911484893e-08,7.769499020939882,0.0006268195023845202,92.22987059965008,3.547689621680729e-06,1.4405122899512186e-13
