Nation,Party,Target,Feature,Pearson_r
scotland,GRN,2024_share,Age65plus,-0.632
scotland,GRN,2024_share,NoQualifications,-0.236
scotland,GRN,2024_share,Degrees,0.524
scotland,GRN,2024_share,PublicSector,-0.027
scotland,GRN,2024_share,ManagerialProfessional,0.163
scotland,GRN,2024_share,Intermediate,-0.568
scotland,GRN,2024_share,Routine,-0.473
scotland,GRN,2024_share,SocialRent,0.218
scotland,GRN,2024_share,PrivateRent,0.544
scotland,GRN,2024_share,OwnerOccupation,-0.494
scotland,LAB,2024_share,Superwealthy,-0.178
scotland,LAB,2024_share,LGBT,0.234
scotland,LAB,2024_share,White,-0.251
scotland,LAB,2024_share,WhiteBritish,-0.179
scotland,LAB,2024_share,WhiteOther,0.015
scotland,LAB,2024_share,Asian,0.269
scotland,LAB,2024_share,Indian,0.172
scotland,LAB,2024_share,Pakistani,0.294
scotland,LAB,2024_share,Bangladeshi,-0.027
scotland,LAB,2024_share,Chinese,0.203
scotland,LAB,2024_share,Black,0.201
scotland,LAB,2024_share,Arab,0.228
scotland,LAB,2024_share,Mixed,0.113
scotland,LAB,2024_share,OtherEthnicity,0.223
scotland,LAB,2024_share,Christian,0.323
scotland,LAB,2024_share,NoReligion,-0.415
scotland,LAB,2024_share,Muslim,0.298
scotland,LAB,2024_share,Hindu,0.111
scotland,LAB,2024_share,Jewish,0.097
scotland,LAB,2024_share,Sikh,0.294
scotland,LAB,2024_share,Buddhist,-0.113
scotland,LAB,2024_share,Veterans,-0.508
scotland,LAB,2024_share,Age0to17,0.101
scotland,LAB,2024_share,Age18to24,0.218
scotland,LAB,2024_share,Age65plus,-0.484
scotland,LAB,2024_share,NoQualifications,0.287
scotland,LAB,2024_share,Degrees,-0.137
scotland,LAB,2024_share,PublicSector,0.144
scotland,LAB,2024_share,ManagerialProfessional,-0.161
scotland,LAB,2024_share,Intermediate,-0.388
scotland,LAB,2024_share,Routine,-0.035
scotland,LAB,2024_share,SocialRent,0.442
scotland,LAB,2024_share,PrivateRent,-0.01
scotland,LAB,2024_share,OwnerOccupation,-0.297
scotland,LD,2024_share,Superwealthy,0.121
scotland,LD,2024_share,LGBT,-0.117
scotland,LD,2024_share,White,0.134
scotland,LD,2024_share,WhiteBritish,0.091
scotland,LD,2024_share,WhiteOther,0.003
scotland,LD,2024_share,Asian,-0.123
scotland,LD,2024_share,Indian,-0.011
scotland,LD,2024_share,Pakistani,-0.2
scotland,LD,2024_share,Bangladeshi,0.135
scotland,LD,2024_share,Chinese,-0.047
scotland,LD,2024_share,Black,-0.194
scotland,LD,2024_share,Arab,-0.163
scotland,LD,2024_share,Mixed,0.023
scotland,LD,2024_share,OtherEthnicity,-0.132
scotland,LD,2024_share,Christian,-0.178
scotland,LD,2024_share,NoReligion,0.226
scotland,LD,2024_share,Muslim,-0.2
scotland,LD,2024_share,Hindu,0.026
scotland,LD,2024_share,Jewish,-0.035
scotland,LD,2024_share,Sikh,-0.081
scotland,LD,2024_share,Buddhist,0.074
scotland,LD,2024_share,Veterans,0.221
scotland,LD,2024_share,Age0to17,-0.022
scotland,LD,2024_share,Age18to24,-0.099
scotland,LD,2024_share,Age65plus,0.303
scotland,LD,2024_share,NoQualifications,-0.344
scotland,LD,2024_share,Degrees,0.252
scotland,LD,2024_share,PublicSector,0.026
scotland,LD,2024_share,ManagerialProfessional,0.307
scotland,LD,2024_share,Intermediate,0.231
scotland,LD,2024_share,Routine,-0.152
scotland,LD,2024_share,SocialRent,-0.412
scotland,LD,2024_share,PrivateRent,-0.086
scotland,LD,2024_share,OwnerOccupation,0.347
scotland,OTHER,2024_share,Superwealthy,-0.081
scotland,OTHER,2024_share,LGBT,-0.019
scotland,OTHER,2024_share,White,-0.011
scotland,OTHER,2024_share,WhiteBritish,0.015
scotland,OTHER,2024_share,WhiteOther,-0.06
scotland,OTHER,2024_share,Asian,0.016
scotland,OTHER,2024_share,Indian,-0.008
scotland,OTHER,2024_share,Pakistani,0.039
scotland,OTHER,2024_share,Bangladeshi,0.058
scotland,OTHER,2024_share,Chinese,-0.022
scotland,OTHER,2024_share,Black,0.01
scotland,OTHER,2024_share,Arab,0.036
scotland,OTHER,2024_share,Mixed,-0.029
scotland,OTHER,2024_share,OtherEthnicity,0.014
scotland,OTHER,2024_share,Christian,0.39
scotland,OTHER,2024_share,NoReligion,-0.385
scotland,OTHER,2024_share,Muslim,0.043
scotland,OTHER,2024_share,Hindu,-0.01
scotland,OTHER,2024_share,Jewish,0.022
scotland,OTHER,2024_share,Sikh,-0.083
scotland,OTHER,2024_share,Buddhist,0.023
scotland,OTHER,2024_share,Veterans,-0.052
scotland,OTHER,2024_share,Age0to17,-0.106
scotland,OTHER,2024_share,Age18to24,-0.041
scotland,OTHER,2024_share,Age65plus,0.063
scotland,OTHER,2024_share,NoQualifications,0.074
scotland,OTHER,2024_share,Degrees,-0.012
scotland,OTHER,2024_share,PublicSector,0.265
scotland,OTHER,2024_share,ManagerialProfessional,-0.072
scotland,OTHER,2024_share,Intermediate,-0.02
scotland,OTHER,2024_share,Routine,0.097
scotland,OTHER,2024_share,SocialRent,0.023
scotland,OTHER,2024_share,PrivateRent,-0.074
scotland,OTHER,2024_share,OwnerOccupation,0.016
scotland,REF,2024_share,Superwealthy,-0.297
scotland,REF,2024_share,LGBT,-0.502
scotland,REF,2024_share,White,0.507
scotland,REF,2024_share,WhiteBritish,0.518
scotland,REF,2024_share,WhiteOther,-0.445
scotland,REF,2024_share,Asian,-0.509
scotland,REF,2024_share,Indian,-0.529
scotland,REF,2024_share,Pakistani,-0.283
scotland,REF,2024_share,Bangladeshi,-0.442
scotland,REF,2024_share,Chinese,-0.53
scotland,REF,2024_share,Black,-0.293
scotland,REF,2024_share,Arab,-0.405
scotland,REF,2024_share,Mixed,-0.631
scotland,REF,2024_share,OtherEthnicity,-0.491
scotland,REF,2024_share,Christian,-0.016
scotland,REF,2024_share,NoReligion,0.241
scotland,REF,2024_share,Muslim,-0.376
scotland,REF,2024_share,Hindu,-0.507
scotland,REF,2024_share,Jewish,-0.357
scotland,REF,2024_share,Sikh,-0.391
scotland,REF,2024_share,Buddhist,-0.518
scotland,REF,2024_share,Veterans,0.38
scotland,REF,2024_share,Age0to17,0.342
scotland,REF,2024_share,Age18to24,-0.398
scotland,REF,2024_share,Age65plus,0.334
scotland,REF,2024_share,NoQualifications,0.515
scotland,REF,2024_share,Degrees,-0.737
scotland,REF,2024_share,PublicSector,0.062
scotland,REF,2024_share,ManagerialProfessional,-0.566
scotland,REF,2024_share,Intermediate,0.362
scotland,REF,2024_share,Routine,0.758
scotland,REF,2024_share,SocialRent,0.207
scotland,REF,2024_share,PrivateRent,-0.437
scotland,REF,2024_share,OwnerOccupation,0.098
scotland,SNP,2024_share,Superwealthy,-0.143
scotland,SNP,2024_share,LGBT,0.09
scotland,SNP,2024_share,White,-0.076
scotland,SNP,2024_share,WhiteBritish,-0.058
scotland,SNP,2024_share,WhiteOther,0.014
scotland,SNP,2024_share,Asian,0.061
scotland,SNP,2024_share,Indian,-0.024
scotland,SNP,2024_share,Pakistani,0.168
scotland,SNP,2024_share,Bangladeshi,-0.034
scotland,SNP,2024_share,Chinese,-0.104
scotland,SNP,2024_share,Black,0.186
scotland,SNP,2024_share,Arab,0.141
scotland,SNP,2024_share,Mixed,-0.118
scotland,SNP,2024_share,OtherEthnicity,0.068
scotland,SNP,2024_share,Christian,-0.002
scotland,SNP,2024_share,NoReligion,-0.048
scotland,SNP,2024_share,Muslim,0.176
scotland,SNP,2024_share,Hindu,-0.059
scotland,SNP,2024_share,Jewish,-0.165
scotland,SNP,2024_share,Sikh,0.036
scotland,SNP,2024_share,Buddhist,0.002
scotland,SNP,2024_share,Veterans,0.053
scotland,SNP,2024_share,Age0to17,-0.04
scotland,SNP,2024_share,Age18to24,0.086
scotland,SNP,2024_share,Age65plus,-0.222
scotland,SNP,2024_share,NoQualifications,0.327
scotland,SNP,2024_share,Degrees,-0.357
scotland,SNP,2024_share,PublicSector,-0.091
scotland,SNP,2024_share,ManagerialProfessional,-0.457
scotland,SNP,2024_share,Intermediate,-0.138
scotland,SNP,2024_share,Routine,0.294
scotland,SNP,2024_share,SocialRent,0.429
scotland,SNP,2024_share,PrivateRent,0.135
scotland,SNP,2024_share,OwnerOccupation,-0.398
scotland,CON,swing,Superwealthy,0.35
scotland,CON,swing,LGBT,0.539
scotland,CON,swing,White,-0.514
